Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
71 years,36123,36774,36139,36690,36842,36880,36926,37138,34857,34313,34279,33598,33437,34419,35881,38419,38840,38875,39039,41591,39923,42740,49798
72 years,35522,34551,35268,34688,35218,35033,35480,35541,35795,33618,33097,33115,32471,32332,33298,35173,37350,37766,37849,37998,40491,38811,41584
73 years,36008,33872,33059,33797,33211,33291,33604,34055,34134,34368,32291,31865,31876,31280,31154,32604,34049,36204,36668,36731,36822,39291,37699
74 years,33759,34227,32155,31488,32204,31360,31754,32148,32532,32651,32889,30969,30587,30656,30143,30609,31485,32841,35051,35465,35630,35580,38026
75 years,31758,31940,32347,30459,29773,30288,29860,30178,30567,30976,31026,31397,29557,29298,29342,28995,29375,30315,31615,33796,34210,34425,34374
76 years,25319,29840,30033,30433,28733,27840,28654,28326,28618,28958,29365,29432,29896,28206,27865,28382,27732,28148,29072,30362,32464,32896,33094
77 years,23033,23696,27861,28148,28514,26760,26215,26909,26681,26983,27333,27734,27837,28311,26705,26885,26999,26564,26863,27744,29061,31067,31485
78 years,10207,21429,22047,25933,26240,26273,24985,24401,25129,24966,25206,25591,26034,26242,26637,25571,25437,25714,25257,25543,26463,27664,29576
79 years,9654,9409,19777,20319,24004,24199,24368,23280,22609,23355,23206,23437,23922,24347,24558,25274,24090,23960,24338,23804,24158,25025,26216
80 years,9615,8845,8575,18128,18566,21807,22234,22374,21425,20789,21537,21387,21714,22219,22558,23243,23622,22588,22429,22817,22478,22796,23615
81 years,11876,8734,8048,7773,16420,16703,19899,20256,20426,19467,19016,19666,19672,20001,20294,21213,21514,21948,21032,20811,21288,21002,21248
82 years,15357,10679,7857,7291,6953,14613,15049,18044,18376,18401,17630,17150,17825,17895,18167,18870,19435,19722,20169,19369,19237,19666,19448
83 years,13219,13711,9444,6950,6432,6009,13051,13454,16138,16447,16396,15743,15486,15969,16101,16668,17057,17741,18049,18371,17771,17581,18072
84 years,11667,11614,12013,8257,6093,5506,5323,11468,11861,14152,14570,14418,13908,13722,14107,14667,14865,15346,16047,16276,16713,16098,15923
85 years,9239,10199,10111,10534,7201,5236,4847,4626,10013,10308,12382,12685,12615,12163,11977,12700,12950,13212,13824,14296,14601,14986,14424
86 years,8040,7901,8710,8678,9041,6056,4477,4170,3998,8549,8823,10693,10887,10928,10479,10621,11070,11308,11627,12099,12637,12855,13259
87 years,7139,6785,6624,7348,7313,7413,5152,3788,3560,3332,7201,7425,9117,9289,9360,9218,9021,9623,9827,10073,10531,10977,11145
88 years,5451,5905,5595,5501,6149,5813,6105,4302,3203,2975,2755,5984,6232,7621,7710,8186,7832,7784,8185,8344,8624,9079,9455
89 years,3948,4412,4787,4576,4439,4867,4756,5012,3528,2606,2434,2290,4903,5113,6267,6484,6779,6658,6608,6843,7036,7177,7681
90 years,3120,3160,3535,3865,3687,3518,3940,3788,4034,2814,2103,1944,1898,3901,4089,5107,5310,5539,5506,5512,5673,5797,5963
91 years,2300,2465,2511,2825,3040,2754,2756,3089,2985,3167,2231,1654,1526,1493,3067,3324,4075,4310,4475,4476,4523,4582,4707
92 years,1808,1786,1948,1964,2199,2076,2157,2134,2407,2260,2464,1735,1301,1186,1164,2541,2580,3225,3477,3505,3611,3594,3643
93 years,1340,1418,1448,1514,1563,1418,1597,1620,1638,1807,1709,1913,1333,960,904,953,1964,2008,2532,2729,2725,2843,2865
94 years,992,1028,1139,1162,1246,947,1055,1177,1234,1238,1340,1267,1423,1022,740,764,723,1497,1545,1934,2070,2075,2230
95 years,688,776,839,898,917,632,654,744,870,912,928,1009,962,1059,776,585,576,561,1155,1182,1461,1543,1603
96 years,464,555,634,689,740,504,448,479,544,629,652,689,747,723,782,552,450,446,449,847,927,1095,1216
97 years,280,383,473,561,582,326,363,329,325,394,459,484,497,572,560,476,398,338,350,330,640,724,875
98 years,192,234,311,411,485,188,228,259,238,236,289,355,363,382,464,330,341,300,287,279,265,502,585
99 years,132,172,200,265,379,153,123,170,195,171,167,234,262,286,312,259,239,243,245,227,231,222,407
100 years,192,284,407,538,0,249,327,367,451,540,609,663,791,937,1090,152,193,184,186,199,185,198,190
